video_id,video_title,channel,author,text,likes,replies,published_at,primary,all,length,first_person
k7N_6YjTwdI,점점 혼자가 편한 이유,픽고 PICKGO,@heheijoo,저게 왜 이상하지? 저런 행동 자체가 남을 배려한다는 건데. 근데 저런 성향이 먼저 다가오면 엄청 반겨줌. 사람이랑 어울리는 게 싫은게 아니라 상대 생각을 너무 많이해서 그냥 혼자가 편할 뿐..,5392,16,2023-12-22,기타,,108,0
3aKqWJ4hu24,혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@응어쩔-nnm12,카톡에 생일 알람 꺼놓은 나..누구 생일 축하해 주기도 받기도 싫은...,5304,209,2026-04-03,기타,,40,0
MKNj6oEqPUc,나이들수록 오히려 혼자가 되면 편합니다. 친구 없어도 잘사는 사람의 특징 (최명기 원장 1부),지식인사이드,@freelife9512,"40대 중반인데 친구 없습니다, 근데 혼자 하고싶은 일도 많고 혼자 즐기는게 편한것도 많아서 딱히 친구같은거 필요없더라구요...요즘세상은 혼자여도 외롭지 않고 할게 많습니다.",4914,380,2023-09-18,자기서사,자기서사,97,0
8raIou7wvlM,혼자가 더 편한 내향적인 사람의 특징,놀면서 배우는 심리학,@서아-x5z,혼자 집에 있을때가 젤 행복함 ㅎㅎㅎ,4751,74,2023-10-17,자기참조,자기참조,20,0
h5fpQoymxfg,"혼자 시간을 보내는 사람이 매력 있는 이유, 외로움을 다루는 방법 (feat.오은영)[인스타그램, 인스타중독, SNS, 오은영, 외로움, 자존감, 우울증]",도서관 오목눈이,@에뚜왈-c1f,저도 혼자 있는거 좋아하는데 혼자서도 “잘” 지내야 하는거같아요. 마냥 침대에서 빈둥대거나 영상물(게임 포함)로 시간보내며 날 고립시키는게 아니라 나를 들여다보는 노력이 중요한거같아요...혼자있으면서도 걷기나 독서 등 뇌나 신체를 사용하면서 스스로 사고하는 행동을 하는게 좋다고 생각합니당,4730,48,2023-03-11,자기서사,정체성확인|자기서사|자기참조,161,1
8raIou7wvlM,혼자가 더 편한 내향적인 사람의 특징,놀면서 배우는 심리학,@eschowww,내향형인데 혼자노는이유가 나랑 딱 맞는사람이 없고 안맞는데 내가 맞춰줘야되거나 쓸데없는 오해로 감정소모도 생기고 분쟁도 생기고해서 평화롭게 혼자노는게 만족도가 꽤 괜찮은거같음,4704,48,2023-10-18,자기서사,자기서사|자기참조,97,1
CkAJFI65YVk,혼자가 편한 사람 특징,픽고 PICKGO,@학교부회장,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ집가서 쉬는날 정해놓는거 개웃기네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개찰떡..ㅋㅋㅋ,4295,18,2023-04-22,정체성확인,정체성확인,80,0
CkAJFI65YVk,혼자가 편한 사람 특징,픽고 PICKGO,@Slbinn,진짜 사람 만나는건 기빨리는데 간혹가다 편한 사람들이 한명씩 있더라고요… 다른 사람들한테 기빨릴거 편한 사람한테만 내 에너지를 쏟는게 오히려 인간관계는 좁아도 탄탄한거 같아요,4156,11,2023-04-22,자기서사,자기서사|자기참조,97,2
B_zaY5sLHXo,"[#유퀴즈온더블럭] 혼자가 제일 편하다는 내향인💦 그 행복, 진짜일까?🤔 행복 심리학자가 말하는 내향인의 진실👀",디글 :Diggle,@yosephjo5120,살짝 인사이드아웃 불안이 닮으셨는데,3890,51,2025-07-11,기타,,19,0
Z-RrLaCDb54,함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@쿯황,1대1로 만나면 엄청 편한데 다른 사람이 더 끼는순간 벙어리가 되는 나...,3863,14,2026-01-17,기타,,42,0
uWoOrxWxeHM,은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@pillyahn1278,"주변에 이혼한 지인들이 꾀 많은 편인데 그분들 얘기 들어보면 괴로운 것보다 차라리 외로운 게 낫다고 하더군요. 외로움은 친구든, 부모든 누군가와 대화를 하면서 풀수 있는데 괴로움은 그 사람과 대화를 하면 할수록 더 커지기 때문에 지옥이라고..",3675,133,2024-04-07,위안,위안|자기서사,135,0
k7N_6YjTwdI,점점 혼자가 편한 이유,픽고 PICKGO,@user-chii721,"""같이가기 싫어?"" 이거 싸우자는거 아닌가 ㅋㅋㅋㅋ시비거는거 같음 (...저 T 100이어여)",3351,25,2024-02-01,자기참조,자기참조,52,0
CkAJFI65YVk,혼자가 편한 사람 특징,픽고 PICKGO,@류지학-o1t,이번 편 진짜 공감된다,3302,7,2023-04-22,정체성확인,정체성확인,12,0
k7N_6YjTwdI,점점 혼자가 편한 이유,픽고 PICKGO,@햇살타로-h3w,"차라리 혼자가 편하긴함.. 같이있음 신경이 곤두섬 그리고 한명한명씩... 예측하는 그 눈치도 채야하고 뭔가 그 에너지소비,,, 되는거마냥... 내자신은 안챙기게되고...내시간도 허비하게되는것같아서 혼자가...되있는게 .. 좋음..",3198,4,2023-12-09,자기참조,자기참조,128,0
k7N_6YjTwdI,점점 혼자가 편한 이유,픽고 PICKGO,@17_luv,혼자 다니다 보면 혼자가 진짜 편함... 뭐든 처음이 어색하지 혼자 여행 한 번만 가보세요 진짜........ 너무 좋음 온전히 나한테 집중하고 내가 자고 싶은 곳 먹고 싶은 곳 가고 싶은 곳 오로지 내 취향에 맞춘 여행도 가능함,3111,41,2024-02-15,자기서사,자기서사|자기참조,128,2
8raIou7wvlM,혼자가 더 편한 내향적인 사람의 특징,놀면서 배우는 심리학,@allen11745,진짜 집에 있으면 심심하다고 말하는 사람 이해가 안되더라. 집에서 할게 얼마나 많은데 ㅋㅋㅋㅋㅋ,3035,50,2023-10-17,지식,지식|자기참조,53,0
8raIou7wvlM,혼자가 더 편한 내향적인 사람의 특징,놀면서 배우는 심리학,@bokhui,침대에 누워서 숨만 쉬어도 행복한 집순이... 내 집 최고....,2853,18,2023-10-18,자기서사,자기서사|자기참조,36,1
Z-RrLaCDb54,함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@roro0-2-01,그래서 학교 다니는게 너무 괴로웠음. 단절은 편한데 고립은 너무 괴로움.,2711,3,2026-01-17,자기서사,자기서사,40,0
uWoOrxWxeHM,은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@michi5440,"결혼하고 잘사는 사람은 서로 열렬히 사랑하는 사이가 아니라, 서로에게 원하는 게 없는 사이임. 무관심을 말하는 것이 아니라 상대에 대한 집착이 없고 상대가 바뀌길 바라는 맘이 없는 상태임. 내 마누라는 원래 저런 사람이야. 내 영감은 원래 저런 사람이야. 뭐 어쩌겠어. 그냥 사는 거지... 내가 상대의 부족함을 채워줘야 되겠다라는 맘이 있으면 더욱 좋게지만, 자칫 이런 것 마저 집착이 될 수 있고, 결과에 대한 보상 심리가 발동할 수 있어서 솔직히 필요 없음.",2584,99,2024-04-08,자기서사,자기서사|자기참조,259,2
MKNj6oEqPUc,나이들수록 오히려 혼자가 되면 편합니다. 친구 없어도 잘사는 사람의 특징 (최명기 원장 1부),지식인사이드,@koreawellder,살아보니 진짜 친구는 돈인것 같습니다.,2553,97,2023-09-18,자기서사,자기서사,21,0
Z-RrLaCDb54,함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@흑연,미안해 내가 가정교육을 틱톡으로 배워서는ㅋㅋㅋㅋ 금방 친해지겠는데,2390,5,2026-01-18,자기참조,자기참조,36,1
B_zaY5sLHXo,"[#유퀴즈온더블럭] 혼자가 제일 편하다는 내향인💦 그 행복, 진짜일까?🤔 행복 심리학자가 말하는 내향인의 진실👀",디글 :Diggle,@bboyoung54,혼자있을때 : 편함 잘맞는 친구와 수다 : 행복과 즐거움 안맞는 사람과 대화 : 불편 괴로움,2381,20,2025-08-09,자기참조,자기참조,51,0
Z-RrLaCDb54,함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@Sunho-oo,솔직히 잘 모르겠음. 혼자 살면서 고독사하고 싶지는 않은데 정작 왕성하게 만나면 피곤한...... 직장관계 아닌 그림커뮤니티나 사적인 친구사이로 만나면 그런 피로도가 좀 줄어들긴 하는데......,2227,33,2026-01-17,자기서사,자기서사|자기참조,109,0
MKNj6oEqPUc,나이들수록 오히려 혼자가 되면 편합니다. 친구 없어도 잘사는 사람의 특징 (최명기 원장 1부),지식인사이드,@itdakku,저는 50대 입니다 평생친구라 생각 했는데 서로 상처만 주고 연락 안합니다 사회서 만난 친구도 가끔 만나 안부나 묻는 정도 입니다 친구가 꼭 필요한건 아닙니다 혼자 즐길거리가 너무 많고 즐겁습니다 혼자 여행도 좋습니다 사람을 만나면 고갈되는 에너지가 혼자 있으면 채워 짐을 느낍니다 사람이 싫은게 아니라 혼자가 더 좋을 뿐 입니다,2216,89,2023-09-19,자기서사,자기서사|자기참조,184,1
h5fpQoymxfg,"혼자 시간을 보내는 사람이 매력 있는 이유, 외로움을 다루는 방법 (feat.오은영)[인스타그램, 인스타중독, SNS, 오은영, 외로움, 자존감, 우울증]",도서관 오목눈이,@4숭이,그냥 남에게 무슨 기대를 하지 마세요. 남에게 인정 받을려고 애쓰지 마세요. 그럼 마음이 편합니다. 그렇다고 막대하라는게 아닙니다. 내 내면의 목소리네 기기울이고 그것만 생각하면 되요. 비교하고 남에게 잘보일려고 하는 마음이 크면 인생이 불행해 집니다,2175,16,2023-10-27,자기서사,위안|정체성확인|자기서사|자기참조,140,1
CkAJFI65YVk,혼자가 편한 사람 특징,픽고 PICKGO,@user-yhidesjcd-uncni,그냥 그 친구들이랑 정신수준이 안맞는거임. 뭔 말을 하면 딱 감정소모 될만한 얘기들만 하고앉아있고.. 끝도없이 배려없이 유쾌한얘기도 아닌 주제로 노가리만 까니까 피로해서 말 섞기싫은거임. 대화가 아닌 의미없는 수준낮은 수다라서.. ㅋㅋ 발전적이고 긍정적이고 상대방 배려하면서 대화가 가능한 사람만나면 안저럼. 기빨리는 수다가 아닌 상호존중 대화가 가능한 사람 만나면 혼자있고싶단 생각 안듦. 진짜임. 그런사람들과 대화하면 유쾌하고 즐겁거든.. 걍 정신연령이 안맞는거,2110,21,2023-04-22,자기참조,자기참조,260,0
Up8EKG5IxdY,똑똑한 사람일수록 친구 적고 외로움 덜 타는 이유ㅣ인간설명서 EP.6,지식인사이드,@크쿼,대인관계 활발하면 지갑이 활발해짐😢,2108,51,2024-12-06,기타,,20,0
Xs7LxgoUOak,혼자가 더 편한 회피형 특징,놀면서 배우는 심리학,@성이름-j7r2d,나네. 도와달라고 절대 말못함. 남한테 부담주는거 정말 불편함. 근데 남은 잘 도와줌.,2094,42,2024-07-31,자기참조,자기참조,48,0
CkAJFI65YVk,혼자가 편한 사람 특징,픽고 PICKGO,@가트몬-e3v,혼자가 된다는 것 = 힘든 일이 생겨도 혼자 감당한다는 것 혼자인게 좋은건 맞으나 가끔 혼자 해결하기 힘든 일이 생길때도 종종 있음 그럴때는 또 생각들지 아.. 이럴땐 진짜 너무 힘들구나 어디 말 할 곳도 없고 이럼,2091,26,2023-04-23,자기참조,자기참조,120,0
MKNj6oEqPUc,나이들수록 오히려 혼자가 되면 편합니다. 친구 없어도 잘사는 사람의 특징 (최명기 원장 1부),지식인사이드,@behappy724,친구 없는 사람 손... ✋,2079,125,2023-10-11,기타,,15,0
QFAIVfI4Vl8,"""친구 한 명도 없는 것, 오히려 좋다"" 혼자 있는 시간이 많을수록 점점 똑똑해지는 이유 (이헌주 교수 통합본)",책과삶,@오드리될뻔-x6f,혼자 있는게 가장 편안합니다,2062,17,2025-12-22,기타,,15,0
k7N_6YjTwdI,점점 혼자가 편한 이유,픽고 PICKGO,@user-dg1xn2nv3n,"혼자 영화보는건 진짜 편해.. 내가 보고 싶은 영화, 시간대, 간식거리(팝콘, 음료) 독단적으로 할 수 있어서 😅",1996,6,2023-12-04,자기참조,자기참조,64,1
CkAJFI65YVk,혼자가 편한 사람 특징,픽고 PICKGO,@노오란바나나,"오히려 저런 내향적인 타입의 사람들이 타인에 대해 너무 신경 써서 인간관계가 지치는 거 ㅎㅎ 자칭 외향적인 사람들이 지 편한대로 지껄이며 남들에게 상처줄 때, (찐 외향적인 사람들은 말조심하면서 친화적인 사람들임) 내향적인 사람들은 조심하고 또 조심하다보니 건조한 반응만 보이는 거지 이걸 '영혼 없네' 해버리는 ㅎㅎ",1980,13,2023-04-30,자기참조,자기참조,177,0
k7N_6YjTwdI,점점 혼자가 편한 이유,픽고 PICKGO,@젤리-v8m,혼자가 편해진 사람은...사람한테 상처받은게 많아서 더 상처받고 싶지 않아서 혼자가 되버린 사람도 많음.,1954,25,2024-02-20,기타,,58,0
Up8EKG5IxdY,똑똑한 사람일수록 친구 적고 외로움 덜 타는 이유ㅣ인간설명서 EP.6,지식인사이드,@finerist,예전에 아는지인은 대인관계가 많아서 자기가 죽을때 장례식장에 올 사람 많다고 자랑하던데요. 난 그딴거 필요없습니다. 내가 죽었을때 장례식장에 단 한사람도 안오면 어때서요. 상관없습니다.,1949,123,2024-12-08,자기참조,자기참조,103,1
uWoOrxWxeHM,은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@김건희-o2h5g,사람한테 질리면 혼자가 외로운게 아니라 자유롭고 행복함을 느낀다,1938,34,2024-04-24,위안,위안,35,0
3aKqWJ4hu24,혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@봄날-u6e,전 결혼식도 하기 싫었음..간단히 가족끼리하던지~ 생일도 거창한거보다 가족끼리 케익이나 먹고 끝. 내 장례식도 사람오지말고 그냥 화장하고 수목장 끝했으면 좋겠음,1908,59,2026-04-03,자기서사,자기서사|자기참조,89,1
wN7PzdNh2Ak,가족과 사는 게 즐겁다고? '행복한 사람'은 절대 무작정 결혼하지 않습니다! | 김경일 심리학과 교수 1부,"꿈을 찾는 사람들 강연,강의,강사,꿈찾사",@gmvisck,혼자 사는게 더 행복하다 스트레스 덜받고 간섭질 안당하고.....4대가 한집에 살았는데...지긋지긋하고 가족이지만 진짜 죽여버리고 싶더라...가까워도 거리를 지켜야 행복한거다..,1895,92,2023-04-12,자기서사,자기서사|자기참조,99,0
GoqsfnmQ2eM,혼자 있는게 더 행복한 사람의 특징,놀면서 배우는 심리학,@jaijung4181,혼자 있는 게 행복해. 그래도 가끔은 사람을 구경하고 싶긴 해.,1821,30,2024-05-08,기타,,35,0
3aKqWJ4hu24,혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@김정의-f6q,"올해 70인데 저도 생일은 굳이 챙기지 않고지냅니다, 저와 같은 생각을 가진 분들이 많이 계시네요, 전혀 섭섭한 마음도 없습니다, 모두들 건강하세요~^^",1796,28,2026-04-03,정체성확인,정체성확인|자기참조,85,1
Z-RrLaCDb54,함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@salmon_ing,나도 겁나 겉도는 인간이고 나만 늘 겉도니까 나는 이상한 사람이라고 스스로 낙인 찍었다가 어느날부터 관찰을 시작했는데 다른 사람들도 어마무시하게 이상하고 그냥 겁나 이상해도 낯 안 가리는 사람이 인싸인 경우도 많아서 모든 인간은 이상하다로 관점이 바뀜 그리고 내가 봤을 때 어떤 애는 다른 집단이었으면 인싸각이었는데 집단 내에서 분위기가 이상하게 형성되면 따돌림을 당하기도 해서 어디서 제외당한다는게 객관적으로 그 사람이 별로라는 증거도 아니더라 그리고 관찰하면 재밌음 현실 속에서 군상극 보는 느낌,1767,11,2026-01-17,자기서사,지식|정체성확인|자기서사|자기참조|실용요청,279,3
MKNj6oEqPUc,나이들수록 오히려 혼자가 되면 편합니다. 친구 없어도 잘사는 사람의 특징 (최명기 원장 1부),지식인사이드,@잎싹이-l7l,40대중반 넘어가는 아이들 엄마입니다. 갈수록 인간관계에 너무 스트레스를 받아 혼자 있는시간을 갖다보니 점점 늘고 편안하더라구요. 그러다 나홀로 있는게 너무좋다보니 내가 이상한게 아닌가 싶었는데 ~~제자신에게 용기를 주는 귀한 내용입니다. 저를 소중하게 여길수있어서 감사드려요^^,1733,49,2023-09-18,자기서사,자기서사|자기참조,156,1
8raIou7wvlM,혼자가 더 편한 내향적인 사람의 특징,놀면서 배우는 심리학,@wooseungkim5463,1.청소하기 2.빨래하기 3.냉장고 정리 4.옷장 정리 5.수납장 정리 6. 책상 정리 7.신발장 정리 8.싱크대 정리 9.가스렌지주변 주방정리 10. 청소기 바닥 청소 (물걸레 청소 포함) 11. 음악듣기 12. 책보기 13. 낮잠자기 14. 유튜브 시청 15. 영화감상 16. 멍잡기 할게 넘무많음. 밖에 돌아다니면 기빨림.,1714,82,2023-11-05,자기참조,자기참조,183,0
2CD0r-cKHDI,나이들수록 혼자가 편해지는 이유. 친구 없이 혼자서 행복해지는 방법 ㅣ Ep. 26 책과사람 (서경석 개그맨 1부),책과삶,@김창우-t2v,부모장례식장? 자식결혼식에 사람없는거? 없으면 어때? 장례식장 사람많으면 혼란스럽기만하지~ 그냥 친한친척사람 몇명과 조용히 보내드리는게 더좋음,1692,90,2025-08-25,자기서사,자기서사,79,0
8raIou7wvlM,혼자가 더 편한 내향적인 사람의 특징,놀면서 배우는 심리학,@슈타인할트,남에게 혹여나 무례하게 굴 일도 없이 피곤하게 만들 일도 없이 혼자서 스스로 자가발전이 가능한 사람이란 얼마나 훌륭한 사람인가..,1691,12,2023-10-17,기타,,72,0
uWoOrxWxeHM,은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@thrma0518,괴로워도 도망갈수가 없음...그게 핵심,1686,30,2024-04-08,기타,,21,0
Xs7LxgoUOak,혼자가 더 편한 회피형 특징,놀면서 배우는 심리학,@yjj4669,답답한 회피형이라기보다는 이것저것 해보고 경험해 보니 더 이상 인간의 기대감이 없는 거죠,1666,22,2024-08-01,기타,,49,0
B_zaY5sLHXo,"[#유퀴즈온더블럭] 혼자가 제일 편하다는 내향인💦 그 행복, 진짜일까?🤔 행복 심리학자가 말하는 내향인의 진실👀",디글 :Diggle,@Sirius-z8s,"개인주의는 나를 존중하면서도, 타인을 침범하지 않는 자유의 균형임.",1586,22,2025-07-12,자기참조,자기참조,37,0
3aKqWJ4hu24,혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@칼라스callas,기념일 진짜 관심없어요 ㅎㅎㅎㅎ 😂,1565,7,2026-04-03,기타,,20,0
Z-RrLaCDb54,함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@shepearlroma,가정교육을 틱톡으로 씨밬ㅋㅋ,1557,0,2026-01-17,기타,,15,0
Xs7LxgoUOak,혼자가 더 편한 회피형 특징,놀면서 배우는 심리학,@user-eg3zw3rs5l,이상한데도 손절하지 않고 뒷담화 하면서 계속 만나는 사람들이 더 이상해보임. 웃긴건 그런 사람들은 서로 뒷담화 하고 필요할때만 만나서 서로 이득 챙기더라. 회피형이 외곬수 같은 면이 보일지언정 앞뒤 다른짓은 안함.,1539,34,2024-08-03,자기서사,자기서사|자기참조,119,1
NmRlvchJpv0,인간관계에 지쳐서 혼자가 편한 사람들의 특징,놀면서 배우는 심리학,@Bee-xm2up,이제 인간관계에 지쳐서 그냥 나한테만 집중하다보니 그게 편하고 나혼자 바쁨. 어차피 정상인들 별로 없고 좋은 사람보다 나쁜놈들 널려서 지긋지긋함,1537,32,2025-09-02,자기참조,자기참조,80,1
6yKBuD8mCqg,"혼자 있을 때 더 편안한 사람, 알고보니 '이 유형' 입니다 (김경일 교수님 통합본)",책과삶,@杉康,맘에안드는 선물받고 좋아하는척 하기도싫고 받았으니 돌려줘야하는 행위도싫고 귀찮다 집에서 청소하고 목욕하고 쉬고싶다,1525,43,2026-05-02,기타,,63,0
wN7PzdNh2Ak,가족과 사는 게 즐겁다고? '행복한 사람'은 절대 무작정 결혼하지 않습니다! | 김경일 심리학과 교수 1부,"꿈을 찾는 사람들 강연,강의,강사,꿈찾사",@user-wk4jl7gu6,저는 일가를 이루지는 않았는데요.. 제가 좀 살면서 느낀건데 부모 형제지간은 가끔씩 짧게 만나서 해산하는 게 가장 좋은 거 같더라고요.. 그리고 혼자 사는 게.. 혼자 있는 게.. 너무나 좋습니다,1509,20,2023-04-13,자기서사,자기서사|자기참조,109,2
8raIou7wvlM,혼자가 더 편한 내향적인 사람의 특징,놀면서 배우는 심리학,@hyeoniiiiiiiii,"혼자 있으면 좀 외로운데, 누구랑 같이 있는건 괴로움ㅠㅠ",1499,22,2023-10-17,위안,위안,31,0
h5fpQoymxfg,"혼자 시간을 보내는 사람이 매력 있는 이유, 외로움을 다루는 방법 (feat.오은영)[인스타그램, 인스타중독, SNS, 오은영, 외로움, 자존감, 우울증]",도서관 오목눈이,@bintolly,"주변에 혼자서도 잘 지내는 사람들 보면 덕질하듯이 파고드는 탐구형이 많더라. 외국어, 재테크, 운동 등 건강한 취미생활을 공부하듯이 혼자서 꾸준히 열심히 함",1447,6,2023-10-14,지식,지식|자기참조,87,0
CkAJFI65YVk,혼자가 편한 사람 특징,픽고 PICKGO,@youyeo,와 마음 돌려주는 것조차 에너지 써야되는거 진짜 ㅇㅈ,1432,78,2023-04-22,기타,,29,0
Il2YDoypN-E,혼자서 잘 사는 사람 특징,놀면서 배우는 심리학,@user-nomind,세상 살면서 느끼는건데 인생에서 가장 걸지적거리는것이 타인이다 타인만 없으면 인생 기본은 간다,1417,15,2024-12-19,자기서사,자기서사,52,0
Up8EKG5IxdY,똑똑한 사람일수록 친구 적고 외로움 덜 타는 이유ㅣ인간설명서 EP.6,지식인사이드,@뱀비-h7b,친구? 내 슬픔은 약점이 되고 내 기쁨은 시기와 질투로 돌아오더군요! 혼자가 편합니다!,1409,50,2024-12-11,자기참조,자기참조,48,1
3a9uKBrUtLU,‼️혼자일 때 (이때가) 진짜 삶을 바꿀 기회다.ㅣ'이혼숙려캠프 상담가' 이호선 숭실사이버대학교 교수ㅣ인생강의,하와이 대저택,@melbun20,혼자 잘노는사람 최고인생❤😊,1403,15,2025-04-10,기타,,16,0
uWoOrxWxeHM,은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@miseoji,결혼해도 외롭습니다. 결국은 나혼자고.. 가장으로써 책임은 많지만 정작 가족들이 날 생각해주진 않습니다. 은지원씨말대로 내가 우선이 되어야합니다.,1389,42,2024-04-25,자기서사,자기서사|자기참조,81,1
h5fpQoymxfg,"혼자 시간을 보내는 사람이 매력 있는 이유, 외로움을 다루는 방법 (feat.오은영)[인스타그램, 인스타중독, SNS, 오은영, 외로움, 자존감, 우울증]",도서관 오목눈이,@seoseoseo0202,무언가에 집중하면 외로움을 느낄세도 없다는것 ㄹㅇ공감...,1373,13,2023-03-13,위안,위안|정체성확인,32,0
uWoOrxWxeHM,은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@IwillyourIdol,혼자는 외로운게 아니라 자유로운것,1351,40,2024-05-05,위안,위안,18,0
3aKqWJ4hu24,혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@핑키니,생일은 같이 사는 가족이랑 케이크 불면 되고 굳이 다른 사람에게 축하 안받아도 됨 챙기는거 귀찮고 불편,1343,6,2026-04-03,자기서사,자기서사,57,0
Up8EKG5IxdY,똑똑한 사람일수록 친구 적고 외로움 덜 타는 이유ㅣ인간설명서 EP.6,지식인사이드,@zephyrtro2317,"혼자있을수 있는 능력이 탁월하다 라고 하셨는데, 이것도 정말 중요한 재능인것 같네요",1328,20,2024-12-06,기타,,46,0
QFAIVfI4Vl8,"""친구 한 명도 없는 것, 오히려 좋다"" 혼자 있는 시간이 많을수록 점점 똑똑해지는 이유 (이헌주 교수 통합본)",책과삶,@KotoshimoArigatoudes,만나봐야 마이너스인 사람만 많이 있다..,1320,8,2025-12-23,기타,,22,0
3a9uKBrUtLU,‼️혼자일 때 (이때가) 진짜 삶을 바꿀 기회다.ㅣ'이혼숙려캠프 상담가' 이호선 숭실사이버대학교 교수ㅣ인생강의,하와이 대저택,@나야-i4r,수다떨기 좋아하는 사람중에 긍정적인 사람은 없는 거 같아요. 맨날 남욕..연예인 이야기.. 부정적인 이야기.. 일어나지 않은 일 걱정.. 남의 에너지 뺏는줄 모르고 얘기함..ㅜㅜ,1282,38,2025-04-09,자기참조,자기참조,99,0
